Fund Holdings as of,"28/Jul/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"ZM","ZOOM VIDEO COMMUNICATIONS INC CLAS","Equity","0.13","369.49","5,583.00","2,062,862.67","2,062,862.67","Information Technology","US98980L1017","NASDAQ","United States","USD"
"MMC","MARSH & MCLENNAN INC","Equity","0.13","144.79","14,234.00","2,060,940.86","2,060,940.86","Financials","US5717481023","New York Stock Exchange Inc.","United States","USD"
"EL","ESTEE LAUDER INC CLASS A","Equity","0.13","330.87","6,222.00","2,058,673.14","2,058,673.14","Consumer Staples","US5184391044","New York Stock Exchange Inc.","United States","USD"
"ITW","ILLINOIS TOOL INC","Equity","0.13","225.83","9,099.00","2,054,827.17","2,054,827.17","Industrials","US4523081093","New York Stock Exchange Inc.","United States","USD"
"EW","EDWARDS LIFESCIENCES CORP","Equity","0.13","110.06","18,271.00","2,010,906.26","2,010,906.26","Health Care","US28176E1082","New York Stock Exchange Inc.","United States","USD"
"SHW","SHERWIN WILLIAMS","Equity","0.12","287.54","6,978.00","2,006,454.12","2,006,454.12","Materials","US8243481061","New York Stock Exchange Inc.","United States","USD"
"DTE","DEUTSCHE TELEKOM N AG","Equity","0.12","21.01","95,491.00","2,006,284.02","2,006,284.02","Communication","DE0005557508","Xetra","Germany","EUR"
"IBE","IBERDROLA SA","Equity","0.12","12.15","164,327.00","1,997,145.73","1,997,145.73","Utilities","ES0144580Y14","Bolsa De Madrid","Spain","EUR"
"KER","KERING SA","Equity","0.12","894.17","2,205.00","1,971,636.27","1,971,636.27","Consumer Discretionary","FR0000121485","Nyse Euronext - Euronext Paris","France","EUR"
"BAM.A","BROOKFIELD ASSET MANAGEMENT INC CL","Equity","0.12","53.51","36,773.00","1,967,658.84","1,967,658.84","Financials","CA1125851040","Toronto Stock Exchange","Canada","CAD"
"HCA","HCA HEALTHCARE INC","Equity","0.12","245.93","7,997.00","1,966,702.21","1,966,702.21","Health Care","US40412C1018","New York Stock Exchange Inc.","United States","USD"
"FDX","FEDEX CORP","Equity","0.12","281.83","6,957.00","1,960,691.31","1,960,691.31","Industrials","US31428X1063","New York Stock Exchange Inc.","United States","USD"
