As Of,Currency,NAV,Securities In Issue,Net Assets,Fund Return Series,Benchmark Return Series
22/Aug/2019,USD,5.12,6 717 538.00,34 405 857.55,105.26,105.32
21/Aug/2019,USD,5.13,6 717 538.00,34 467 308.30,105.45,105.51
20/Aug/2019,USD,5.09,6 717 538.00,34 207 172.99,104.66,104.71
19/Aug/2019,USD,5.12,6 717 538.00,34 398 730.18,105.24,105.30
16/Aug/2019,USD,5.06,6 717 538.00,34 017 350.08,104.08,104.13
15/Aug/2019,USD,5.00,6 717 538.00,33 588 667.29,102.76,102.82
14/Aug/2019,USD,5.01,6 717 538.00,33 647 387.82,102.94,103.00
13/Aug/2019,USD,5.13,6 717 538.00,34 430 134.63,105.34,105.40
12/Aug/2019,USD,5.08,6 717 538.00,34 146 804.33,104.47,104.53
09/Aug/2019,USD,5.13,6 717 538.00,34 438 256.26,105.36,105.43
08/Aug/2019,USD,5.15,6 717 538.00,34 626 608.49,105.94,106.00
07/Aug/2019,USD,5.07,6 224 134.00,31 581 645.33,104.28,104.35
06/Aug/2019,USD,5.06,6 295 058.00,31 868 635.53,104.04,104.10
05/Aug/2019,USD,5.03,6 295 058.00,31 683 380.71,103.44,103.50
02/Aug/2019,USD,5.16,6 295 058.00,32 487 717.58,106.07,106.12
01/Aug/2019,USD,5.22,6 295 058.00,32 839 051.29,107.21,107.27
31/Jul/2019,USD,5.25,6 295 058.00,33 055 670.86,107.92,107.98
30/Jul/2019,USD,5.29,6 396 378.00,33 831 023.42,108.70,108.76
29/Jul/2019,USD,5.31,6 396 378.00,33 963 532.37,109.13,109.18
26/Jul/2019,USD,5.32,6 396 378.00,34 017 080.85,109.30,109.35
25/Jul/2019,USD,5.29,6 396 378.00,33 868 127.07,108.82,108.88
24/Jul/2019,USD,5.32,6 396 378.00,34 033 159.45,109.35,109.40
23/Jul/2019,USD,5.30,6 396 378.00,33 886 762.26,108.88,108.93
22/Jul/2019,USD,5.27,6 396 378.00,33 691 745.49,108.25,108.30
19/Jul/2019,USD,5.26,6 396 378.00,33 633 872.68,108.07,108.11
